match_file,tournament,team_a,team_b,date,team_a_prev_matches_played,team_a_prev_matches_won,team_a_prev_win_rate,team_a_prev_sets_won,team_a_prev_sets_lost,team_a_prev_set_win_rate,team_a_prev_avg_points_scored,team_a_prev_avg_points_conceded,team_b_prev_matches_played,team_b_prev_matches_won,team_b_prev_win_rate,team_b_prev_sets_won,team_b_prev_sets_lost,team_b_prev_set_win_rate,team_b_prev_avg_points_scored,team_b_prev_avg_points_conceded,h2h_matches,h2h_team_a_wins,team_a_won
PVL2024B-W49-CHD-CAP-XML.xml,PVLR24,CHD,CAP,20240824,10,6,0.6,20,16,0.5555555555555556,81.1,72.9,1,0,0.0,0,3,0.0,50.0,76.0,0,0,1
PVL2024A-W69-PGA-CCS-XML.xml,PVLALL24,PGA,CCS,20240502,5,5,1.0,15,2,0.8823529411764706,87.4,73.8,17,13,0.7647058823529411,45,18,0.7142857142857143,89.05882352941177,75.58823529411765,0,0,0
PVL2024B-W55-HSH-CHD-XML.xml,PVLR24,HSH,CHD,20240904,5,4,0.8,14,5,0.7368421052631579,88.0,78.8,11,7,0.6363636363636364,23,18,0.5609756097560976,84.0909090909091,76.72727272727273,0,0,0
PVL2025A-W57-CMF-NXL-XML.xml,PVLAF25,CMF,NXL,20250213,10,9,0.9,29,14,0.6744186046511628,93.4,87.6,6,2,0.3333333333333333,7,12,0.3684210526315789,65.66666666666667,74.5,0,0,1
PVL2023B-W25-CTCvHSH-XML.xml,PVLINV23,CTC,HSH,20230718,8,2,0.25,10,18,0.35714285714285715,74.75,81.75,6,4,0.6666666666666666,15,8,0.6521739130434783,87.5,81.5,0,0,0
PVL2025B-W39-CTC-CHD-XML.xml,PVLOT25,CTC,CHD,20250812,9,2,0.2222222222222222,12,21,0.36363636363636365,78.44444444444444,84.44444444444444,12,8,0.6666666666666666,26,19,0.5777777777777777,85.0,77.41666666666667,0,0,1
PVL2025D-W18-CMF-NXL-XML.xml,TEST_PVLR25,CMF,NXL,20251021,11,10,0.9090909090909091,32,16,0.6666666666666666,94.81818181818181,89.0909090909091,7,2,0.2857142857142857,9,15,0.375,71.14285714285714,79.42857142857143,0,0,1
PVL2025A-W73-CTC-NXL-XML.xml,PVLAF25,CTC,NXL,20250306,10,3,0.3,15,22,0.40540540540540543,79.7,84.6,8,2,0.25,9,18,0.3333333333333333,70.25,78.875,0,0,1
PVL2024B-W23-CAP-CMF-XML.xml,PVLR24,CAP,CMF,20240801,2,0,0.0,2,6,0.25,82.5,95.0,12,11,0.9166666666666666,35,16,0.6862745098039216,93.16666666666667,87.0,0,0,1
PVL2025A-W97-PGA-CCS-XML.xml,PVLAF25,PGA,CCS,20250410,6,5,0.8333333333333334,16,5,0.7619047619047619,89.33333333333333,78.66666666666667,18,14,0.7777777777777778,48,19,0.7164179104477612,89.83333333333333,76.88888888888889,0,0,0
PVL2024B-W30-CMF-PGA-XML.xml,PVLR24,CMF,PGA,20240806,13,11,0.8461538461538461,37,19,0.6607142857142857,94.0,87.6923076923077,7,5,0.7142857142857143,18,8,0.6923076923076923,90.14285714285714,81.14285714285714,0,0,0
PVLAFC2023-M64-GTHvCHD-XML.xml,PVLALL23,GTH,CHD,20231107,7,2,0.2857142857142857,7,15,0.3181818181818182,65.0,69.85714285714286,13,8,0.6153846153846154,27,22,0.5510204081632653,85.07692307692308,78.46153846153847,0,0,0
