match_id,team_a_id,team_b_id,tournament_id,team_a_elo,team_b_elo,elo_diff,elo_prob_team_a,team_a_matches_played,team_a_win_rate,team_a_avg_points,team_a_avg_attack,team_a_avg_block,team_a_avg_serve,team_b_matches_played,team_b_win_rate,team_b_avg_points,team_b_avg_attack,team_b_avg_block,team_b_avg_serve,team_a_starter_attack,team_a_starter_block,team_a_starter_serve,team_a_top_scorer,team_a_libero_digs,team_a_libero_reception,team_a_roster_depth,team_a_avg_sets_per_player,team_a_10plus_scorers,team_b_starter_attack,team_b_starter_block,team_b_starter_serve,team_b_top_scorer,team_b_libero_digs,team_b_libero_reception,team_b_roster_depth,team_b_avg_sets_per_player,team_b_10plus_scorers,team_a_wins
71,14,16,7,1471.1847966764274,1563.1348874446137,-91.95009076818633,0.37067847061784337,3,0.0,40.333333333333336,18.666666666666668,6.666666666666667,1.0,14,1.5714285714285714,91.35714285714286,52.714285714285715,9.571428571428571,3.642857142857143,1.275,0.45,0.025,10,0.975,0.475,15,2.15,1,4.139240506329114,0.7278481012658228,0.2848101265822785,25,1.7151898734177216,0.8481012658227848,22,3.3417721518987342,27,0
72,16,1,4,1570.5484568569705,1608.1526345297318,-37.60417767276135,0.446093569501985,15,1.6,90.26666666666667,52.4,9.666666666666666,3.6666666666666665,21,1.619047619047619,90.52380952380952,56.476190476190474,8.714285714285714,6.0476190476190474,4.052631578947368,0.7251461988304093,0.2807017543859649,25,1.6491228070175439,0.8011695906432749,22,3.2222222222222223,29,4.12015503875969,0.6046511627906976,0.4496124031007752,26,1.2596899224806202,0.7596899224806202,25,3.050387596899225,50,0
73,6,1,4,1481.1337631733006,1617.0745059197716,-135.94074274647096,0.31377318577789,2,0.0,73.0,37.0,5.5,5.5,22,1.6363636363636365,91.63636363636364,57.59090909090909,8.636363636363637,5.909090909090909,2.1923076923076925,0.38461538461538464,0.38461538461538464,15,1.2692307692307692,0.8461538461538461,16,2.6538461538461537,2,4.162962962962963,0.5962962962962963,0.43703703703703706,26,1.2703703703703704,0.7851851851851852,25,3.1074074074074076,53,0
74,4,3,3,1442.7558841186747,1489.5338529833034,-46.77796886462875,0.433084934351144,9,0.2222222222222222,73.55555555555556,45.55555555555556,4.444444444444445,2.5555555555555554,12,0.8333333333333334,79.0,48.083333333333336,7.583333333333333,2.6666666666666665,3.0,0.2631578947368421,0.11403508771929824,30,1.2543859649122806,0.34210526315789475,23,2.7719298245614037,11,3.1258278145695364,0.4966887417218543,0.17218543046357615,31,1.1324503311258278,0.7814569536423841,24,2.814569536423841,23,0
75,12,9,4,1468.8464243462993,1459.1433660911684,9.703058255130827,0.5139601940640828,3,0.0,49.666666666666664,29.0,4.333333333333333,2.0,9,0.4444444444444444,68.88888888888889,41.888888888888886,5.444444444444445,4.555555555555555,1.95,0.325,0.125,12,0.775,0.525,18,2.35,2,2.710526315789474,0.3333333333333333,0.2982456140350877,25,1.1666666666666667,0.38596491228070173,22,2.8596491228070176,14,0
76,11,16,4,1548.75227491812,1561.6265854669307,-12.874310548810627,0.4814808531628492,16,1.375,87.125,55.0,7.4375,4.25,16,1.5,91.5,53.125,10.125,3.6875,3.9744897959183674,0.5510204081632653,0.29591836734693877,37,1.4489795918367347,0.7397959183673469,20,2.913265306122449,32,4.138121546961326,0.7624309392265194,0.281767955801105,29,1.6519337016574585,0.8287292817679558,22,3.303867403314917,31,0
77,4,11,7,1434.0941854316518,1539.122657854863,-105.02847242321127,0.35329370924915937,10,0.2,75.7,47.1,4.5,2.9,17,1.2941176470588236,85.41176470588235,53.94117647058823,7.352941176470588,4.0588235294117645,3.2338709677419355,0.27419354838709675,0.1532258064516129,30,1.3548387096774193,0.3790322580645161,23,2.806451612903226,14,3.9082125603864735,0.5458937198067633,0.28502415458937197,37,1.429951690821256,0.7584541062801933,20,2.888888888888889,33,0
78,8,9,10,1455.0724241404823,1469.42256997245,-14.350145831967666,0.47936021549577,5,0.0,88.4,52.2,7.6,3.8,10,0.6,69.5,41.9,5.8,4.7,3.683333333333333,0.48333333333333334,0.23333333333333334,21,1.1666666666666667,0.8833333333333333,20,3.3833333333333333,12,2.7007874015748032,0.36220472440944884,0.2992125984251969,25,1.1496062992125984,0.36220472440944884,22,2.8188976377952755,15,1
79,4,15,4,1427.0283112466686,1465.1585380337413,-38.130226787072615,0.44534544626994427,11,0.18181818181818182,72.36363636363636,45.36363636363637,4.090909090909091,2.727272727272727,8,0.5,65.75,37.5,3.875,4.75,3.1353383458646618,0.2556390977443609,0.15037593984962405,30,1.3383458646616542,0.38345864661654133,23,2.789473684210526,14,2.1904761904761907,0.23809523809523808,0.26666666666666666,16,1.1904761904761905,0.45714285714285713,20,2.5047619047619047,8,1
80,10,16,2,1516.310675416295,1571.2562025301877,-54.945527113892695,0.42157971017753615,8,1.25,86.125,55.375,7.125,3.25,17,1.5294117647058822,90.52941176470588,52.94117647058823,10.117647058823529,3.823529411764706,4.319148936170213,0.5106382978723404,0.2127659574468085,34,1.6914893617021276,0.9680851063829787,21,3.106382978723404,19,4.119791666666667,0.7604166666666666,0.2916666666666667,29,1.6510416666666667,0.796875,22,3.25,33,1
